id,address,city,state,zip
1,415-419 Cedar Bridge Avenue,Lakewood,NJ,08701
2,526 Yale Avenue North,Seattle,WA,98109
3,Neptune Boulevard & SR-33,Neptune,NJ,07753
4,4280 South Hualapai Way,Las Vegas,NV,89147
5,406 E. Safari Road,Grand Prairie,TX,75050
6,11625-11715 Fox Road,Indianapolis,IN,46236
7,205 Collins Avenue,Colma,CA,94014
8,818 Spring Lane,Sanford,NC,27330
9,20 Easthampton Road,Holyoke,MA,01040
10,8701 J.W. Clay Blvd.,Charlotte,NC,28217
11,21251 Ridgetop Circle,Sterling,VA,20166
12,12500 - 12600 Dunlap,Houston,TX,77035
13,32 Blacks Lane,Springfield,NJ,07081
14,26797 Hanna Road,Conroe,TX,77385
15,310 Old Chatham Road,Dennis,MA,02660
16,5306-5310 Windward Parkway,Alpharetta,GA,30004
17,8004 Palmetto Avenue,Fontana,CA,92336
18,916 Union Street,Brooklyn,NY,11215
19,6455 South Yosemite Street,Greenwood Village,CO,80111
20,1642-44 W. Morse Avenue,Chicago,IL,60626
21,6 Monticello Drive,Athens,OH,45701
22,9227-9331 Coors Boulevard Northwest,Albuquerque,NM,87114
23,2021 Highridge Drive,Huntsville,AL,35802
24,10461 East Apache Trail,Apache Junction,AZ,85220
25,905-993 Lomas Santa Fe Drive,Solana Beach,CA,92075
26,780 Ocean Beach Highway,Longview,WA,98632
27,4101  Brittany Street,Bakersfield,CA,93312
28,1650 Richmond Avenue,Staten Island,NY,10314
29,10105 224th Street E,Graham,WA,98338
30,2207 South Western Street,Amarillo,TX,79109
31,6601 Abercorn Street,Savannah,GA,31405
32,5001 Monroe Street,Toledo,OH,43623
33,800 South Salisbury Blvd.,Salisbury,MD,21801
34,9401-9453 Katy Freeway,Houston,TX,77024
35,5350 Tech Data Drive,Clearwater,FL,33760
36,2320 Northeast 5th Avenue,Pompano Beach,FL,33064
37,122 South Michigan Avenue,Chicago,IL,60603
38,2930 SW 23rd Terrace,Gainesville,FL,32608
39,120 West Railroad Street,Long Beach,MS,39560
40,2220 West Mission Lane,Phoenix,AZ,85021
41,3520 East Dupont Road,Fort Wayne,IN,46825
42,8251 West Union Hills Drive,Glendale,AZ,85308
43,3801-3899 Aramingo Avenue,Philadelphia,PA,19137
44,5849 Peachtree Road,Chamblee,GA,30341
45,3447-3469 University Drive,Sunrise,FL,33351
46,3906-3910 Buena Vista Street,Dallas,TX,75204
47,6380 South Valley View Boulevard,Las Vegas,NV,89118
48,2501 Anken Drive,Austin,TX,78741
49,25421 Alta Loma,Lake Forest,CA,92630
50,5500 Nolansville Road,Nashville,TN,37211
51,4002 South Cedar Street,Pecos,TX,79772
52,1401-1419 First Avenue & 92-96Union Street,Seattle,WA,98101
53,95 Powers Street,Milford,NH,03055
54,301 West Gonzales Road,Oxnard,CA,93036
55,710 S. Frontage Road,Nipomo,CA,93444
56,4633 La Palma Avenue,Anaheim,CA,92807
57,11720 and 11730 Plaza America Drive,Reston,VA,20190
58,18000-18080 Matney Road,Germantown,MD,20874
59,9515 North Lamar Boulevard,Austin,TX,78753
60,2005 Broadhollow Road,Farmingdale,NY,11735
61,4140 East Lancaster Avenue,Ft. Worth,TX,76103
