address_id,address_string,parsing_errors,address_components,model_id
1,415-419 Cedar Bridge Avenue,False,"[
    {
        ""address_type"": ""range"",
        ""first_building_number"": 415,
        ""last_building_number"": 419,
        ""street"": ""Cedar Bridge Avenue""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
2,526 Yale Avenue North,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 526,
        ""last_building_number"": 526,
        ""street"": ""Yale Avenue North""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
3,Neptune Boulevard & SR-33,False,"[
    {
        ""address_type"": ""approximate"",
        ""first_building_number"": null,
        ""last_building_number"": null,
        ""street"": ""Neptune Boulevard & SR-33""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
4,4280 South Hualapai Way,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 4280,
        ""last_building_number"": 4280,
        ""street"": ""South Hualapai Way""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
5,406 E. Safari Road,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 406,
        ""last_building_number"": 406,
        ""street"": ""E. Safari Road""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
6,11625-11715 Fox Road,False,"[
    {
        ""address_type"": ""range"",
        ""first_building_number"": 11625,
        ""last_building_number"": 11715,
        ""street"": ""Fox Road""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
7,205 Collins Avenue,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 205,
        ""last_building_number"": 205,
        ""street"": ""Collins Avenue""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
8,818 Spring Lane,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 818,
        ""last_building_number"": 818,
        ""street"": ""Spring Lane""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
9,20 Easthampton Road,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 20,
        ""last_building_number"": 20,
        ""street"": ""Easthampton Road""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
10,8701 J.W. Clay Blvd.,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 8701,
        ""last_building_number"": 8701,
        ""street"": ""J.W. Clay Blvd.""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
11,21251 Ridgetop Circle,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 21251,
        ""last_building_number"": 21251,
        ""street"": ""Ridgetop Circle""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
12,12500 - 12600 Dunlap,False,"[
    {
        ""address_type"": ""range"",
        ""first_building_number"": 12500,
        ""last_building_number"": 12600,
        ""street"": ""Dunlap""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
13,32 Blacks Lane,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 32,
        ""last_building_number"": 32,
        ""street"": ""Blacks Lane""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
14,26797 Hanna Road,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 26797,
        ""last_building_number"": 26797,
        ""street"": ""Hanna Road""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
15,310 Old Chatham Road,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 310,
        ""last_building_number"": 310,
        ""street"": ""Old Chatham Road""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
16,5306-5310 Windward Parkway,False,"[
    {
        ""address_type"": ""range"",
        ""first_building_number"": 5306,
        ""last_building_number"": 5310,
        ""street"": ""Windward Parkway""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
17,8004 Palmetto Avenue,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 8004,
        ""last_building_number"": 8004,
        ""street"": ""Palmetto Avenue""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
18,916 Union Street,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 916,
        ""last_building_number"": 916,
        ""street"": ""Union Street""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
19,6455 South Yosemite Street,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 6455,
        ""last_building_number"": 6455,
        ""street"": ""South Yosemite Street""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
20,1642-44 W. Morse Avenue,False,"[
    {
        ""address_type"": ""range"",
        ""first_building_number"": 1642,
        ""last_building_number"": 44,
        ""street"": ""W. Morse Avenue""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
